MES,Data,Grupos de usuários,Parceiro,compradores,comissão,cashback,vendas totais,porcentagem de cash back ATUAL,Ticket Médio,"porcentagem ""IDEAL""",lucro,,,,,,,,,,
março,2011-03-25,Grupo 2,Parceiro A,73,$4.289,$1.950,$38.993,"45,45%",$534,,$2.340,,,,,,,,,,
março,2011-03-26,Grupo 1,Parceiro A,102,$6.720,$3.055,$61.091,"45,45%",$599,,$3.665,,,,,,,,,,
março,2011-03-26,Grupo 3,Parceiro A,69,$4.351,$1.978,$39.552,"45,45%",$573,,$2.373,,,,,,,,,,
março,2011-03-26,Grupo 3,Parceiro A,51,$3.398,$1.545,$30.893,"45,45%",$606,,$1.854,,,,,,,,,,
março,2011-03-27,Grupo 1,Parceiro A,100,$5.198,$2.363,$47.259,"45,45%",$473,,$2.836,,,,,,,,,,
março,2011-03-27,Grupo 2,Parceiro A,78,$5.670,$2.577,$51.547,"45,45%",$661,,$3.093,,,,,,,,,,
março,2011-03-27,Grupo 3,Parceiro A,49,$3.088,$1.404,$28.075,"45,45%",$573,,$1.685,,,,,,,,,,
março,2011-03-28,Grupo 1,Parceiro A,110,$6.931,$3.151,$63.013,"45,45%",$573,,$3.781,,,,,,,,,,
março,2011-03-28,Grupo 3,Parceiro A,72,$3.769,$1.713,$34.267,"45,45%",$476,,$2.056,,,,,,,,,,
março,2011-03-28,Grupo 2,Parceiro A,72,$5.240,$2.382,$47.634,"45,45%",$662,,$2.858,,,,,,,,,,
março,2011-03-29,Grupo 3,Parceiro A,70,$4.639,$2.109,$42.171,"45,45%",$602,,$2.530,,,,,,,,,,
março,2011-03-29,Grupo 1,Parceiro A,82,$7.136,$3.243,$64.869,"45,45%",$791,,$3.892,,,,,,,,,,
março,2011-03-29,Grupo 1,Parceiro A,64,$3.790,$1.723,$34.456,"45,45%",$538,,$2.067,,,,,,,,,,
março,2011-03-30,Grupo 1,Parceiro A,42,$2.758,$1.254,$25.071,"45,45%",$597,,$1.504,,,,,,,,,,
março,2011-03-30,Grupo 1,Parceiro A,42,$2.261,$1.028,$20.552,"45,45%",$489,,$1.233,,,,,,,,,,
março,2011-03-30,Grupo 1,Parceiro A,77,$5.318,$2.417,$48.344,"45,45%",$628,,$2.901,,,,,,,,,,
março,2011-03-31,Grupo 1,Parceiro A,77,$6.288,$2.858,$57.164,"45,45%",$742,,$3.430,,,,,,,,,,
março,2011-03-31,Grupo 3,Parceiro A,88,$5.812,$2.642,$52.836,"45,45%",$600,,$3.170,,,,,,,,,,
março,2011-03-31,Grupo 3,Parceiro A,74,$5.566,$2.530,$50.600,"45,45%",$684,,$3.036,,,,,,,,,,
abril,2011-04-01,Grupo 1,Parceiro A,71,$4.036,$1.834,$36.688,"45,45%",$517,,$2.201,,,,,,,,,,
abril,2011-04-01,Grupo 2,Parceiro A,84,$5.278,$2.399,$47.982,"45,45%",$571,,$2.879,,,,,,,,,,
abril,2011-04-01,Grupo 1,Parceiro A,116,$7.705,$3.514,$70.043,"45,61%",$604,,$4.190,,,,,,,,,,
abril,2011-04-02,Grupo 3,Parceiro A,61,$3.860,$1.754,$35.087,"45,45%",$575,,$2.105,,,,,,,,,,
abril,2011-04-02,Grupo 2,Parceiro A,68,$4.573,$2.078,$41.569,"45,45%",$611,,$2.494,,,,,,,,,,
abril,2011-04-02,Grupo 1,Parceiro A,68,$7.254,$3.297,$65.943,"45,45%",$970,,$3.957,,,,,,,,,,
